Sort -50, -1, 5, 1, 9, 4, 0, -3, 23 in decreasing order.
23, 9, 5, 4, 1, 0, -1, -3, -50
Sort 5, 2, 0, 486, 11, 3, 7, 6, 8 in decreasing order.
486, 11, 8, 7, 6, 5, 3, 2, 0
Sort 19, -3, 0, 15, 5, -6, -8, 3, 7.
-8, -6, -3, 0, 3, 5, 7, 15, 19
Sort 3, 6, 5, -68, -3, -6, 2, 1, 39 in descending order.
39, 6, 5, 3, 2, 1, -3, -6, -68
Sort 3, 1, 25, 13, 0, -4, 5, 26, -8 in decreasing order.
26, 25, 13, 5, 3, 1, 0, -4, -8
Put 0, 3, 17, 1, 2, -5, 8, 10, 29 in descending order.
29, 17, 10, 8, 3, 2, 1, 0, -5
Put -5, 5, 18, 4, 14, 3, 87, -8, 0 in descending order.
87, 18, 14, 5, 4, 3, 0, -5, -8
Put 7, 1, -6, -9, 4, 0, 23, -11, 3 in descending order.
23, 7, 4, 3, 1, 0, -6, -9, -11
Sort 2, 11, 75, -5, -3, 4, 8, 3, 64.
-5, -3, 2, 3, 4, 8, 11, 64, 75
Sort 4, -1, 21, 0, 8, -4, 1, 35, 47 in decreasing order.
47, 35, 21, 8, 4, 1, 0, -1, -4
